 	분류	타입1	타입2	타입3	위력	명중	대상	우선도	접촉 여부	효과	태그1	태그2	태그3	태그4	공격자 능력치	방어자 능력치	타입 순서
대해룡	특수	물	드래곤		200	100	전체	±0	×	「물」「드래곤」 타입 중 유리한 타입 상성으로 대미지를 계산한다．		복합타입			특공	특방	3
뎁스바이트	물리	물			100	90	단일	±0	○	「물기/엄니」 기술．급소에 맞기 쉽다（C＋1）．	물기/엄니				공격	방어	3
따라가데우기	특수	물			40	100	단일	±0	×	「추격」 기술．상대가 「임의교대」 도중일 때，위력이 강화（2배）된다．			추격		특공	특방	3
떠내려보내기	특수	물			40	－	단일	－7	×	「강제교대」 기술．		필중	강제교대		특공	특방	3
마린다이브	물리	물			120	100	단일	±0	○	「모으기」 기술．상대의 「방어」 기술을 관통한다．1T째에 「물속」으로 모습을 감추고，2T째에 공격한다．날씨가 「비（강한 비）」일 때，모으기를 생략한다．	모으기	방어관통			공격	방어	3
마린슛	물리	물			100	95	단일	±0	○	「킥」 기술．빗나가거나 무효화됐을 때，HP의 1/2만큼 반동 대미지를 받는다．	킥	반동			공격	방어	3
물거품아리아	특수	물			90	100	전체	±0	×	「소리」 기술．명중 후，상대의 「화상」 상태를 치유한다．	소리				특공	특방	3
물놀이	변화	물			－	－	필드	±0	×	5T 동안 전체 필드를 「물놀이」 상태로 한다．	필드				－	－	3
물대포	특수	물			40	100	단일	±0	×	특수효과 없음．					특공	특방	3
물붓기	변화	물			－	100	단일	±0	×	상대의 타입을 「물」로 변경한다．		타입변경			－	－	3
물수리검	특수	물			15	100	단일	＋1	×	「칼/검」 기술．2～5회 「연속」 기술．	칼/검	연속			특공	특방	3
물에흘리기	특수	물			70	－	단일	－7	×	「강제교대」 기술．		필중	강제교대		특공	특방	3
물의맹세	특수	물			80	100	단일	±0	×	「맹세」 기술．다른 「맹세」 기술과 연속해서 내보낼 때，특수한 효과가 발생한다．	맹세				특공	특방	3
물의맹세（＋불꽃）	특수	물			150	100	단일	±0	×	4T 동안 자진을 「무지개」 상태로 한다．	맹세				특공	특방	3
물의칼	물리	물			100	100	단일	±0	○	「칼/검」 기술．급소에 맞기 쉽다（C＋1）．	칼/검				공격	방어	3
물의파동	특수	물			60	100	단일	±0	×	「파동」 기술．「2할：혼란」	파동				특공	특방	3
바다회오리	특수	물			35	85	단일	±0	×	4～5T 동안 상대를 「조이기」 상태로 한다．		조이기			특공	특방	3
버블가드	변화	물			－	－	자신	＋4	×	「방어」 기술．연속해서 내보내면 실패하기 쉽다．「접촉」 기술을 무효화했을 때，상대의 「속도－2」	방어				－	－	3
비바라기	변화	물			－	－	필드	±0	×	5T 동안 날씨를 「비」로 한다．	날씨				－	－	3
빅웨이브	특수	물			130	90	단일	±0	×	명중 후，자신의 「특공－2」					특공	특방	3
생명의물방울	변화	물			－	－	자진	±0	×	필드에 있는 아군 전원의 HP를 1/4만큼 회복한다．		회복			－	－	3
셸블레이드	물리	물			75	95	단일	±0	○	「칼/검」 기술．「5할：방어－1」	칼/검				공격	방어	3
소금물	특수	물			65	100	단일	±0	×	상대의 HP가 1/2 이하일 때， 위력이 강화（2배）된다．					특공	특방	3
수룡탄	특수	물	드래곤		130	85	단일	±0	×	「물」「드래곤」 타입 중 유리한 타입 상성으로 대미지를 계산한다．		복합타입			특공	특방	3
수류연타	물리	물			25	100	단일	±0	○	2회 「연속」 기술．반드시 급소에 맞는다．		확정급소			공격	방어	3
수압탄	특수	물			80	－	단일	±0	×	「탄/볼」 기술．	탄/볼	필중			특공	특방	3
스팀버스트	특수	물			110	95	단일	±0	×	서로의 「얼음」 상태를 치유한다．「3할：화상」		치유			특공	특방	3
스팀피스트	물리	물			110	95	단일	±0	×	「펀치」 기술．「3할：화상」	펀치				공격	방어	3
씻어흘리기	변화	물			－	－	자진	±0	×	자진의 「설치물」을 해제한다．		해제			－	－	3
아가미물기	물리	물			85	100	단일	±0	○	「물기/엄니」 기술．상대보다 먼저 내보낼 때，위력이 강화（2배）된다．	물기/엄니				공격	방어	3
아쿠아링	변화	물			－	－	자신	±0	×	자신을 「아쿠아링」 상태로 한다．		회복			－	－	3
아쿠아매그넘	물리	물			80	100	단일	＋2	×	연속해서 내보내면 실패하기 쉽다．（「방어」 기술과 별도 판정．）					공격	방어	3
아쿠아브레이크	물리	물			85	100	단일	±0	○	「2할：방어－1」					공격	방어	3
아쿠아스탬프	물리	물			120	100	단일	±0	○	자신과 상대의 「방어」 능력치로 대미지를 계산한다．		변칙계산			방어	방어	3
아쿠아스텝	물리	물			80	100	단일	±0	○	「춤」 기술．「10할：속도＋1」	춤				공격	방어	3
아쿠아스톰	특수	물			100	75	단일	±0	×	4～5T 동안 상대를 「조이기」 상태로 한다．		조이기			특공	특방	3
아쿠아제트	물리	물			40	100	단일	＋1	○	특수효과 없음．					공격	방어	3
아쿠아커터	물리	물			70	100	단일	±0	×	「칼/검」 기술．급소에 맞기 쉽다（C＋1）．	칼/검				공격	방어	3
아쿠아테일	물리	물			90	90	단일	±0	○	「꼬리」 기술．	꼬리				공격	방어	3
아쿠아프레스	물리	물			85	100	단일	±0	○	「3할：마비」					공격	방어	3
압축포	물리	물			100	100	단일	±0	×	상대의 〔방호 특성〕을 관통한다．		특성관통			공격	방어	3
양날집게	물리	물			150	100	단일	－3	○	기술을 내보내기 전에 상대의 공격을 받으면 실패한다．					공격	방어	3
어뢰	특수	물	전기		85	95	단일	±0	×	「물」「전기」 타입 중 유리한 타입 상성으로 대미지를 계산한다．		복합타입			특공	특방	3
역수류	특수	물			120	85	단일	－7	×	「강제교대」 기술．			강제교대		특공	특방	3
열탕	특수	물			80	100	단일	±0	×	서로의 「얼음」 상태를 치유한다．「3할：화상」		치유			특공	특방	3
오징어먹물	변화	물			－	90	전체	±0	×	「명중－1」					－	－	3
웨이브태클	물리	물			120	100	단일	±0	○	준 대미지의 1/3만큼 반동 대미지를 받는다．		반동			공격	방어	3
인어춤	특수	물			70	100	단일	±0	×	「춤」 기술．「5할：특공＋1」	춤				특공	특방	3
잠수	특수	물			70	100	단일	±0	○	「유턴」 기술．			유턴		특공	특방	3
저편물	물리	물			100	85	단일	±0	○	「유턴」 기술			유턴		공격	방어	3
제트펀치	물리	물			60	100	단일	＋1	○	특수효과 없음．					공격	방어	3
주포발사	특수	물			200	－	전체	±0	×	「추격」 기술．상대가 「임의교대」 도중일 때，위력이 강화（2배）된다．		필중	추격	전용기술	특공	특방	3
집게해머	물리	물			100	90	단일	±0	○	급소에 맞기 쉽다（C＋1）．					공격	방어	3
철포수	물리	물			130	100	단일	±0	×	연속해서 내보내면 실패하기 쉽다．（「방어」 기술과 별도 판정．）					공격	방어	3
치유의물방울	변화	물			－	－	자신	±0	×	HP를 1/2만큼 회복한다．		회복			－	－	3
침수	변화	물			－	－	단일	±0	×	상대를 「침수」 상태로 한다．					－	－	3
퀵턴	물리	물			60	100	단일	±0	×	「유턴」 기술．			유턴		공격	방어	3
큰파도	물리	물			90	100	전체	±0	×	특수효과 없음．					공격	방어	3
타타키던지기	물리	물			120	90	단일	±0	○	급소에 맞기 쉽다（C＋1）．					공격	방어	3
탁류	특수	물			90	85	전체	±0	×	「3할：명중－1」					특공	특방	3
트리플다이브	물리	물			30	95	단일	±0	○	3회 「연속」 기술．	연속				공격	방어	3
파도타기	특수	물			90	100	전체	±0	×	상대가 「물속」 상태일 때，위력이 강화（2배）된다．					특공	특방	3
폭포오르기	물리	물			80	100	단일	±0	○	「2할：풀죽음」					공격	방어	3
피보라	특수	물			150	80	단일	±0	×	준 대미지의 1/2만큼 반동 대미지를 받는다．		반동			특공	특방	3
피의창	특수	물			50	100	단일	±0	×	「창」 기술．반드시 급소에 맞는다．	창	확정급소			특공	특방	3
하드론포	특수	물	격투		130	85	단일	±0	×	「물」「격투」 타입 중 유리한 타입 상성으로 대미지를 계산한다．		복합타입			특공	특방	3
하이드로캐논	특수	물			150	90	단일	±0	×	명중 후，다음 T 종료 후까지 자신을 「행동불능」 상태로 한다．		행동불능			특공	특방	3
하이드로펌프	특수	물			110	80	단일	±0	×	특수효과 없음．					특공	특방	3
해수	특수	물			70	100	단일	±0	×	상대가 「전기」 타입일 때，「효과가 굉장」해진다．		상성변경			특공	특방	3
해수스파우팅（1P）	특수	물			150	100	전체	±0	×	자신의 현재 HP가 적을수록 위력이 약화된다．		체력비례			특공	특방	3
해수스파우팅（2P）	특수	물			0	100	전체	±0	×	자신의 현재 HP가 적을수록 위력이 약화된다．		체력비례			특공	특방	3
해저의달	특수	물			90	100	전체	±0	×	「4할：풀죽음」					특공	특방	3
해저지진	물리	물	땅		130	85	단일	±0	×	「물」「땅」 타입 중 유리한 타입 상성으로 대미지를 계산한다．		복합타입			공격	방어	3
홍수범람	특수	물			100	100	단일	±0	×	「미래예지」 기술．상대를 「홍수범람」 상태로 한다．	미래예지				특공	특방	3
흘려보내기	변화	물			－	－	자진	±0	×	자진의 「설치물」을 해제한다．		해제			－	－	3
가시창	물리	풀			90	90	단일	±0	○	「창」 기술．명중 후，2T 동안 상대를 「조이기」 상태로 한다．	창	조이기			공격	방어	4
가시채찍	물리	풀			100	75	단일	±0	○	4～5T 동안 상대를 「조이기」 상태로 한다．		조이기			공격	방어	4
가지찌르기	물리	풀			40	100	단일	±0	○	특수효과 없음．					공격	방어	4
개척하기	물리	풀			50	100	단일	±0	○	「10할：속도＋1」					공격	방어	4
검은숲	변화	풀			－	－	필드	±0	×	5T 동안 전체 필드를 「검은숲」 상태로 한다．	필드	초기화			－	－	4
겨우살이의창	물리	풀			80	90	단일	±0	○	「창」 기술．「5할：씨뿌리기」	창				공격	방어	4
고민씨	변화	풀			－	100	단일	±0	×	상대의 〔특성〕을 〔불면〕으로 변경한다．		특성변경			－	－	4
광합성	변화	풀			－	－	자신	±0	×	HP를 회복한다．날씨에 따라 회복량이 변화한다．（1/4，1/2，2/3）		회복			－	－	4
그래스믹서	특수	풀			65	90	단일	±0	×	「5할：명중－1」					특공	특방	4
그래스슬라이더	물리	풀			70	100	단일	±0	○	전체 필드가 「그래스필드」 상태일 때，이 기술의 우선도를 ＋1한다．					공격	방어	4
그래스필드	변화	풀			－	－	필드	±0	×	5T 동안 전체 필드를 「그래스필드」 상태로 한다．	필드				－	－	4
기가드레인	특수	풀			75	100	단일	±0	×	준 대미지의 1/2만큼 HP를 회복한다．		드레인			특공	특방	4
꽃보라	물리	풀			90	100	전체	±0	×	「바람」 기술．	바람				공격	방어	4
꽃잎댄스	물리	풀			150	100	단일	±0	○	「춤」 기술．2T 동안 자신을 「난동부리기」 상태로 한다．	춤	난동부리기			공격	방어	4
나무꾼의노래	특수	풀			80	－	단일	±0	×	「소리」 기술．	소리	필중			특공	특방	4
나뭇잎	물리	풀			40	100	단일	±0	×	특수효과 없음．					공격	방어	4
나뭇잎수리검	특수	풀			15	100	단일	＋1	×	「칼/검」 기술．2～5회 「연속」 기술．	칼/검	연속			특공	특방	4
녹색의호흡	특수	풀			90	100	단일	±0	×	빗나갔을 때，자신의 HP를 1/2만큼 회복한다．					특공	특방	4
느림보씨	변화	풀			－	90	단일	±0	×	상대의 〔특성〕을 〔시간벌기〕로 변경한다．		특성변경			－	－	4
니들가드	변화	풀			－	－	자신	＋4	×	「방어」 기술．연속해서 내보내면 실패하기 쉽다．「접촉」 기술을 무효화했을 때，상대에게 HP의 1/8만큼 고정 대미지를 준다．	방어				－	－	4
다시피기	특수	풀			70	100	단일	±0	×	「유턴」 기술．			유턴		특공	특방	4
덩쿨채찍	물리	풀			45	100	단일	±0	○	특수효과 없음．					공격	방어	4
독가루	변화	풀			－	75	단일	±0	×	「가루」 기술．상대를 「독」 상태로 한다．	가루				－	－	4
드럼어택	물리	풀			80	100	단일	±0	×	「10할：속도－1」					공격	방어	4
로즈스톰	특수	풀			100	75	단일	±0	×	4～5T 동안 상대를 「조이기」 상태로 한다．		조이기			특공	특방	4
리프러시	특수	풀			25	100	단일	±0	×	2～5회 「연속」 기술．		연속			특공	특방	4
리프블레이드	물리	풀			90	100	단일	±0	○	「칼/검」 기술．급소에 맞기 쉽다（C＋1）．	칼/검				공격	방어	4
리프스톰	특수	풀			130	90	단일	±0	×	명중 후，자신의 「특공－2」					특공	특방	4
매지컬리프	특수	풀			60	－	단일	±0	×	「마법」 기술．	마법	필중			특공	특방	4
메가드레인	특수	풀			40	100	단일	±0	×	준 대미지의 1/2만큼 HP를 회복한다．		드레인			특공	특방	4
목화포자	변화	풀			－	100	단일	±0	×	「가루」 기술．상대의 「속도－2」	가루				－	－	4
바늘팔	물리	풀			60	100	단일	±0	○	「3할：풀죽음」					공격	방어	4
버섯포자	변화	풀			－	100	단일	±0	×	「가루」 기술．상대를 「잠듦」 상태로 한다．	가루				－	－	4
부식의나뭇잎（1P）	특수	풀			65	100	단일	±0	○	「소지품 파괴」 기술．상대의 「소지품」을 파괴할 때，위력이 강화（1.5배）된다．		파괴			특공	특방	4
부식의나뭇잎（2P）	특수	풀			65	100	단일	±0	○	「소지품 파괴」 기술．상대의 「소지품」을 파괴할 때，위력이 강화（1.5배）된다．		파괴			특공	특방	4
뿌리박기	변화	풀			－	－	자신	±0	×	자신을 「뿌리박기」 상태로 한다．					－	－	4
사과산	특수	풀			80	100	단일	±0	×	「10할：특방－1」					특공	특방	4
사이코플랜트	특수	풀	에스퍼		130	85	단일	±0	×	「풀」「에스퍼」 타입 중 유리한 타입 상성으로 대미지를 계산한다．		복합타입			특공	특방	4
소독	특수	풀			70	100	전체	±0	×	상대가 「독」 타입이거나 「독」 상태일 때，「효과가 굉장」해진다．상대가 「독」 상태일 때，상대의 「독」 상태를 치유한다．		상성변경 치유			특공	특방	4
솔라랜스	물리	풀			150	90	단일	＋2	○	「창」 기술．날씨가 「쾌청（큰가뭄）」일 때， 위력이 강화（1.5배）된다．날씨가 「비（강한 비）」일 때，위력이 약화（0.5배）된다．「필드에 나온 후 최초」가 아니면 실패한다．	창	최초			공격	방어	4
솔라블레이드	물리	풀			125	100	단일	±0	○	「칼/검」 기술．「모으기」 기술．날씨가 「쾌청（큰가뭄）」일 때，「모으기」를 생략하고 위력이 강화（1.5배）된다．날씨가 「비（강한 비）」일 때， 위력이 약화（0.5배）된다．	칼/검	모으기			공격	방어	4
솔라빔	특수	풀			120	100	단일	±0	×	「모으기」 기술．날씨가 「쾌청（큰가뭄）」일 때，「모으기」를 생략하고 위력이 강화（1.5배）된다．날씨가 「비（강한 비）」일 때， 위력이 약화（0.5배）된다．	모으기				특공	특방	4
수계강탄	물리	풀			180	95	전체	±0	×	명중 후，자신의 「방어/특방/속도－1」					공격	방어	4
수레국화	물리	풀			80	100	단일	＋2	○	연속해서 내보내면 실패하기 쉽다．					공격	방어	4
수면가루	변화	풀			－	75	단일	±0	×	「가루」 기술．상대를 「잠듦」 상태로 한다．	가루				－	－	4
숲의저주	변화	풀			－	100	단일	±0	×	상대의 타입에 「풀」을 추가한다．		타입변경			－	－	4
시드플레어	특수	풀			120	85	단일	±0	×	「4할：특방－2」					특공	특방	4
씨기관총	물리	풀			25	100	단일	±0	×	「탄/볼」 기술．2～5회 「연속」 기술．	탄/볼	연속			공격	방어	4
씨뿌리기	변화	풀			－	90	단일	±0	×	상대를 「씨뿌리기」 상태로 한다．		드레인			－	－	4
씨폭탄	물리	풀			80	100	단일	±0	×	「탄/볼」 기술．	탄/볼				공격	방어	4
아로마테라피	변화	풀			－	－	아군	±0	×	아군 전원의 「상태이상」을 치유한다．		치유			－	－	4
에너지볼	특수	풀			90	100	단일	±0	×	「탄/볼」 기술．「1할：특방－1」	탄/볼				특공	특방	4
우드해머	물리	풀			120	100	단일	±0	○	준 대미지의 1/3만큼 반동 대미지를 받는다．		반동			공격	방어	4
우드혼	물리	풀			75	100	단일	±0	○	「뿔」 기술．준 대미지의 1/2만큼 HP를 회복한다．	뿔	드레인			공격	방어	4
일륜초	특수	풀			120	100	단일	±0	×	「모으기」 기술．상대의 「방어」 기술을 관통한다．1T째에 모습을 감추고，2T째에 공격한다．날씨가 「쾌청（큰가뭄）」일 때，모으기를 생략한다．	모으기	방어관통			특공	특방	4
잎날가르기	물리	풀			55	95	단일	±0	×	급소에 맞기 쉽다（C＋1）．					공격	방어	4
잡초베기	변화	풀			－	－	자진	±0	×	자진의 「설치물」을 해제한다．		해제			－	－	4
장미원	변화	풀			－	－	적진	±0	×	「설치」 기술．적진에 「장미원」을 설치한다．	설치	드레인			－	－	4
저리가루	변화	풀			－	75	단일	±0	×	「가루」 기술．상대를 「마비」 상태로 한다．	가루				－	－	4
정글힐	변화	풀			－	－	아군	±0	×	아군 전원의 HP를 1/4만큼 회복하고 「상태이상」을 치유한다．		치유 회복		더블배틀	－	－	4
죽창	물리	풀			50	100	단일	±0	○	「창」 기술．반드시 급소에 맞는다．	창	확정급소			공격	방어	4
집게덫	물리	풀			35	100	단일	±0	○	4～5T 동안 상대를 「조이기」 상태로 한다．		확정급소			공격	방어	4
치유씨앗	변화	풀			－	－	자신	±0	×	자신을 「빈사」 상태로 하고，「죽어내밀기」로 나오는 아군의 HP와 「상태이상」을 전부 회복한다．	자폭	회복			－	－	4
코튼가드	변화	풀			－	－	자신	±0	×	「방어＋3」					－	－	4
클로로블라스트	특수	풀			150	95	전체	±0	×	HP의 1/2만큼 반동 대미지를 받는다．		반동			특공	특방	4
트로피컬킥	물리	풀			70	100	단일	±0	○	「킥」 기술．「10할：공격－1」	킥				공격	방어	4
트릭플라워	물리	풀			70	－	단일	±0	×	반드시 급소에 맞는다．		필중 확정급소			공격	방어	4
파로때리기	물리	풀			130	85	단일	±0	○	「3할：공격＋1」					공격	방어	4
파워휩	물리	풀			120	85	단일	±0	○	특수효과 없음．					공격	방어	4
풀묶기	특수	풀			120	100	단일	±0	○	자신과 상대의 「방어」 능력치를 반전해 대미지를 계산한다．	변칙계산				방어	방어	4
풀의맹세	특수	풀			80	100	단일	±0	×	「맹세」 기술．다른 「맹세」 기술과 연속해서 내보낼 때，특수한 효과가 발생한다．	맹세				특공	특방	4
풀의맹세（＋물）	특수	풀			150	100	단일	±0	×	4T 동안 적진을 「습원」 상태로 한다．	맹세				특공	특방	4
풀피리	변화	풀			－	55	단일	±0	×	「소리」 기술．상대를 「잠듦」 상태로 한다．	소리				－	－	4
하드플랜트	특수	풀			150	90	단일	±0	×	명중 후，다음 T 종료 후까지 자신을 「행동불능」 상태로 한다．		행동불능			특공	특방	4
하바네로엑기스	변화	풀			－	－	단일	±0	×	「공격＋2」「방어－2」					－	－	4
호두까기	물리	풀			75	100	단일	±0	○	적진의 「벽」을 해제한 후 기술을 내보낸다．		깨트리기			공격	방어	4
화상가루	변화	풀			－	75	단일	±0	×	상대를 「화상」 상태로 한다．					－	－	4
흐드러지게피다	특수	풀			150	80	단일	±0	×	준 대미지의 1/2만큼 반동 대미지를 받는다．		반동			특공	특방	4
흡수	특수	풀			20	100	단일	±0	×	준 대미지의 1/2만큼 HP를 회복한다．		드레인			특공	특방	4
힘흡수	변화	풀			－	100	단일	±0	×	상대의 「능력변화」를 약탈하고，자신의 HP를 1/2만큼 회복한다．상대에게 「능력변화」가 없으면 실패한다．		회복			－	－	4
G의힘	물리	풀			80	100	단일	±0	×	「힘」 기술．전체 필드가 「중력」 상태일 때， 위력이 강화（1.5배）된다．「10할：방어－1」	힘				공격	방어	4
10만볼트	특수	전기			90	100	단일	±0	×	「1할：마비」					특공	특방	5
강화전압	물리	전기			90	85	단일	±0	○	자신의 HP가 「가득」일 때，위력이 강화（2배）된다．					공격	방어	5
거친벼락	물리	전기			200	90	단일	±0	○	준 대미지의 1/2만큼 반동 대미지를 받는다．		반동			공격	방어	5
검은벼락	물리	전기			100	100	단일	±0	×	「소지품 파괴」 기술．		파괴			공격	방어	5
괴전파	변화	전기			－	100	단일	±0	×	상대의 「특공－2」					－	－	5
기뢰	변화	전기			－	－	적진	±0	×	「대지설치」 기술．적진에 「기뢰」를 설치한다．	대지설치				－	－	5
뇌격	물리	전기			130	85	단일	±0	○	「2할：마비」					공격	방어	5
뇌광충	물리	전기	벌레		90	100	단일	±0	×	「전기」「벌레」 타입 중 유리한 타입 상성으로 대미지를 계산한다．급소에 맞기 쉽다（C＋1）．		복합타입			공격	방어	5
뇌광탄	특수	전기			80	－	단일	±0	×	「탄/볼」 기술．	탄/볼	필중			특공	특방	5
뇌명	특수	전기			100	100	전체	±0	×	「소리」 기술．	소리				특공	특방	5
뇌신의망치	물리	전기			180	95	단일	±0	○	명중 후，자신의 「방어/특방/속도－1」					공격	방어	5
뇌운	특수	전기			100	90	전체	±0	×	「1할：마비」					특공	특방	5
뇌절	물리	전기			90	100	단일	±0	○	상대가 「전기」 타입일 때，「효과가 굉장」해진다．					공격	방어	5
다크플라즈마	특수	전기	악		130	85	단일	±0	×	「전기」「악」 타입 중 유리한 타입 상성으로 대미지를 계산한다．		복합타입			특공	특방	5
라이징볼트	특수	전기			70	100	단일	±0	×	상대가 「일렉트릭필드」의 효과를 받고 있을 때，위력이 강화（2배）된다．					특공	특방	5
라이트닝드라이브	특수	전기			100	100	단일	±0	○	「효과가 굉장」할 때，기술의 위력을 강화（1.3배）한다．					특공	특방	5
레일건	특수	전기			100	85	단일	＋2	×	「필드에 나온 후 최초」가 아니면 실패한다．		최초			특공	특방	5
마비덫	특수	전기			100	100	단일	－3	×	기술을 내보내기 전에 「접촉」 기술을 받으면 상대를 「마비」 상태로 한다．					특공	특방	5
메탈번	특수	전기	강철		130	85	단일	±0	×	「전기」「강철」 타입 중 유리한 타입 상성으로 대미지를 계산한다．		복합타입			특공	특방	5
멜트다우너	특수	전기			130	90	단일	±0	×	명중 후，자신의 「특공－2」					특공	특방	5
방전	특수	전기			80	100	전체	±0	×	「3할：마비」					특공	특방	5
번개	특수	전기			110	70	단일	±0	×	날씨가 「비（강한 비）」일 때，「필중」 효과가 부여된다．상대가 「하늘 위」 상태일 때，위력이 강화（2배）된다．「3할：마비」					특공	특방	5
번개구름	특수	전기			100	100	단일	±0	×	「미래예지」 기술．상대를 「번개구름」 상태로 한다．	미래예지	방어관통			특공	특방	5
번개엄니	물리	전기			65	95	단일	±0	○	「물기/엄니」 기술．「1할：마비」「1할：풀죽음」	물기/엄니				공격	방어	5
번개펀치	물리	전기			75	100	단일	±0	○	「펀치」 기술．「1할：마비」	펀치				공격	방어	5
번개폭풍	특수	전기			100	80	전체	±0	×	「바람」 기술．「3할：마비」	바람				특공	특방	5
벼락말뚝	특수	전기			150	90	단일	＋2	×	「필드에 나온 후 최초」가 아니면 실패한다．		최초			특공	특방	5
볼부비부비	물리	전기			20	100	단일	±0	○	「10할：마비」					공격	방어	5
볼트체인지	특수	전기			70	100	단일	±0	×	「유턴」 기술．			유턴		특공	특방	5
볼트태클	물리	전기			120	100	단일	±0	○	준 대미지의 1/3만큼 반동 대미지를 받는다．「1할：마비」		반동			공격	방어	5
사이코플라즈마	특수	전기	에스퍼		130	85	단일	±0	×	「전기」「에스퍼」 타입 중 유리한 타입 상성으로 대미지를 계산한다．		복합타입			특공	특방	5
사이퍼	물리	전기			100	80	단일	±0	×	상대의 「방어/특방/회피」의 상승（강화）을 관통한다．		상승무시			공격	방어	5
선더랜스	물리	전기			130	100	단일	±0	×	「창」 기술．연속해서 내보내면 실패하기 쉽다．（「방어」 기술과 별도 판정．）	창				공격	방어	5
성스러운벼락	물리	전기			100	95	단일	±0	×	「5할：마비」					공격	방어	5
송전	변화	전기			－	－	단일	±0	×	상대를 「송전」 상태로 한다．					－	－	5
쇳소리	특수	전기			70	100	단일	±0	×	상대가 「강철」 타입일 때，「효과가 굉장」해진다．		상성변경			특공	특방	5
스턴가드	변화	전기			－	－	자신	＋4	×	「방어」 기술．연속해서 내보내면 실패하기 쉽다．「접촉」 기술을 무효화했을 때，상대를 「마비」 상태로 한다．	방어				－	－	5
스파크	물리	전기			65	100	단일	±0	○	「3할：마비」					공격	방어	5
신뢰	물리	전기			40	100	단일	＋1	○	특수효과 없음．					공격	방어	5
신의번개	특수	전기			160	50	단일	±0	×	날씨가 「비（강한 비）」일 때，「필중」 효과가 부여된다．「10할：마비」					특공	특방	5
썬더프리즌	특수	전기			80	90	단일	±0	×	4～5T 동안 상대를 「조이기」 상태로 한다．		조이기			특공	특방	5
오라휠	물리	전기	악		110	100	단일	±0	×	「전기」「악」 타입 중 자신의 「타입1」과 같은 타입이 된다．「10할：속도＋1」		타입변화			공격	방어	5
오버드라이브	특수	전기			80	100	전체	±0	×	「소리」 기술．	소리				특공	특방	5
와일드볼트	물리	전기			90	100	단일	±0	○	준 대미지의 1/4만큼 반동 대미지를 받는다．		반동			공격	방어	5
울려퍼지는천둥	물리	전기			80	－	단일	－7	×	「소리」 기술．「강제교대」 기술．「2할：마비」	소리	필중	강제교대		공격	방어	5
원시의벼락	특수	전기	바위		200	－	전체	±0	○	「추격」 기술．상대가 「임의교대」 도중일 때，위력이 강화（2배）된다．「전기」「바위」 타입 중 유리한 타입 상성으로 대미지를 계산한다．		복합타입 필중	추격	전용기술	특공	특방	5
원자의빛	특수	전기	강철		200	－	전체	±0	○	「추격」 기술．상대가 「임의교대」 도중일 때，위력이 강화（2배）된다．「전기」「강철」 타입 중 유리한 타입 상성으로 대미지를 계산한다．		복합타입 필중	추격	전용기술	특공	특방	5
이나즈마킥	물리	전기			85	90	단일	±0	○	「킥」 기술．급소에 맞기 쉽다（C＋1）．「1할：마비」	킥				공격	방어	5
일렉기타	특수	전기			70	100	전체	±0	×	「소리」 기술．「3할：혼란」	소리				특공	특방	5
일렉번	특수	전기			150	90	단일	±0	×	명중 후，다음 T 종료 후까지 자신을 「행동불능」 상태로 한다．		행동불능			특공	특방	5
일렉트릭네트	특수	전기			55	95	전체	±0	×	「10할：속도－1」					특공	특방	5
일렉트릭볼	특수	전기			120	100	단일	±0	×	「탄/볼」 기술．자신과 상대의 「속도」 능력치로 대미지를 계산한다．	탄/볼	변칙계산			속도	속도	5
일렉트릭필드	변화	전기			－	－	필드	±0	×	5T 동안 전체 필드를 「일렉트릭필드」 상태로 한다．	필드				－	－	5
자기장조작	변화	전기			－	－	아군	±0	×	특성이 〔플러스〕〔마이너스〕인 아군의 「방어/특방＋1」					－	－	5
전격부리	물리	전기			85	100	단일	±0	○	상대보다 먼저 내보낼 때，위력이 강화（2배）된다．					공격	방어	5
전격파	특수	전기			60	－	단일	±0	×	특수효과 없음．		필중			특공	특방	5
전광쌍격	물리	전기			120	100	단일	±0	○	명중 후，자신의 「전기」 타입을 「없음」으로 한다．		타입변경			공격	방어	5
전기꼬리	물리	전기			90	90	단일	±0	○	「2할：마비」					공격	방어	5
전기쇼크	특수	전기			40	100	단일	±0	×	「1할：마비」					특공	특방	5
전기자석파	변화	전기			－	90	단일	±0	×	상대를 「마비」 상태로 한다．					－	－	5
전자부유	변화	전기			－	－	자신	±0	×	자신을 5T 동안 「전자부유」 상태로 한다．					－	－	5
전자펄스	특수	전기			90	90	단일	±0	×	「10할：금제」					특공	특방	5
전자포	특수	전기			120	50	단일	±0	×	「탄/볼」 기술．「10할：마비」	탄/볼				특공	특방	5
전파잭	변화	전기			－	50	단일	±0	×	상대를 「마비」「혼란」 상태로 한다．「전기」 타입이 내보낼 때，「명중：90」이 된다．					－	－	
전파탑	변화	전기			－	－	적진	±0	×	「설치」 기술．적진에 「전파탑」을 설치한다．	설치				－	－	5
찌리리따끔따끔	물리	전기			80	100	단일	±0	○	「3할：풀죽음」					공격	방어	5
차지빔	특수	전기			50	90	단일	±0	×	「7할：특공＋1」					특공	특방	5
천둥도끼	물리	전기			90	100	단일	＋2	○	「필드에 나온 후 최초」가 아니면 실패한다．		최초			공격	방어	5
천둥북	물리	전기			140	100	전체	±0	×	「소리」 기술．	소리				공격	방어	5
